FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
170809;0000;37,01;;;
170810;0000;21,86;;;
170811;0000;25,45;;;
170812;0000;25,47;;;
170813;0000;26,95;;;
170814;0000;25,73;;;
170815;0000;25,58;;;
170816;0000;36,22;;;
170817;0000;34,13;;;
170818;0000;26,56;;;
170819;0000;17,38;;;
170820;0000;20,54;;;
170821;0000;34,96;;;
170822;0000;28,92;;;
170823;0000;23,73;;;
170824;0000;19,14;;;
170825;0000;23,05;;;
170826;0000;25,44;;;
170827;0000;14,02;;;
170828;0000;16,15;;;
170829;0000;17,04;;;
170830;0000;29,32;;;
170831;0000;29,89;;;
170901;0000;20,36;;;
170902;0000;16,92;;;
170903;0000;12,05;;;
170904;0000;21,6;;;
170905;0000;28,4;;;
170906;0000;23,84;;;
170907;0000;21,28;;;
170908;0000;16,59;;;
170909;0000;16,44;;;
170910;0000;12,04;;;
170911;0000;20,72;;;
170912;0000;14,73;;;
170913;0000;14,34;;;
170914;0000;17,97;;;
170915;0000;20,79;;;
170916;0000;22,74;;;
170917;0000;20,03;;;
170918;0000;12,83;;;
170919;0000;5,03;;;
170920;0000;13,07;;;
170921;0000;17,79;;;
170922;0000;22,27;;;
170923;0000;20,46;;;
170924;0000;13,49;;;
170925;0000;19,77;;;
170926;0000;27,43;;;
170927;0000;26,66;;;
170928;0000;24,95;;;
170929;0000;24,3;;;
170930;0000;15,82;;;
171001;0000;9,13;;;
171002;0000;17,62;;;
171003;0000;20,64;;;
171004;0000;;;;
171005;0000;12,3;;;
171006;0000;20,57;;;
171007;0000;13,45;;;
171008;0000;9,64;;;
