FECHA (YYMMDD);HORA (HHMM);;,
150212;0700;49,9167;
150212;0800;35,5;
150212;0900;29,1667;
150212;1000;26,3333;
150212;1100;23,6667;
150212;1200;22,25;
150212;1300;20;,
150212;1400;19,5833;
150212;1500;19,1667;
150212;1600;18,4167;
150212;1700;19;,
150212;1800;20,3333;
150212;1900;25,1667;
150212;2000;30,25;
150212;2100;34,1667;
150212;2200;41,8333;
150212;2300;45,9167;
150213;0000;48,1667;
150213;0100;51;,
150213;0200;47,75;
150213;0300;51,3333;
150213;0400;55;,
150213;0500;;,
150213;0600;;,
150213;0700;;,
150213;0800;;,
150213;0900;;,
150213;1000;24,6667;
150213;1100;20,3333;
150213;1200;18,75;
150213;1300;19,9167;
150213;1400;17,5833;
150213;1500;15,4167;
150213;1600;14,9167;
150213;1700;17,0833;
150213;1800;19,6667;
150213;1900;22,75;
150213;2000;28,5;
150213;2100;34,25;
150213;2200;35;,
150213;2300;40,1667;
150214;0000;46,5;
150214;0100;47,75;
150214;0200;48,8333;
150214;0300;51,6667;
150214;0400;52,5;
150214;0500;51,8333;
150214;0600;51,6667;
150214;0700;45,4167;
150214;0800;30,9167;
150214;0900;26,5;
150214;1000;25,9167;
150214;1100;27;,
150214;1200;25,3333;
150214;1300;26,25;
150214;1400;27,1667;
150214;1500;30,3333;
150214;1600;30,5833;
150214;1700;34,5;
150214;1800;40,4167;
150214;1900;48,25;
150214;2000;54,1667;
150214;2100;56,75;
150214;2200;59,5;
150214;2300;61;,
150215;0000;63,9167;
150215;0100;65,0833;
150215;0200;68,75;
150215;0300;71,3333;
150215;0400;72,5833;
150215;0500;72,5833;
150215;0600;72,5833;
150215;0700;64,9166;
150215;0800;53,1667;
150215;0900;46,25;
150215;1000;40,75;
150215;1100;34,4167;
150215;1200;32,0833;
150215;1300;31,75;
150215;1400;31,5;
150215;1500;30,5;
150215;1600;31,8333;
150215;1700;34,5833;
150215;1800;41,0833;
150215;1900;47,5;
150215;2000;51,75;
150215;2100;54,5;
150215;2200;56,75;
150215;2300;60,6667;
150216;0000;65,5;
150216;0100;69,25;
150216;0200;71,75;
150216;0300;71,8333;
150216;0400;72,8333;
150216;0500;74,9166;
150216;0600;74,0833;
150216;0700;65,9166;
150216;0800;55,0833;
150216;0900;47,1667;
150216;1000;42;,
150216;1100;38,9167;
150216;1200;33,9167;
150216;1300;32,8333;
150216;1400;32,4167;
150216;1500;32,1667;
150216;1600;32,75;
150216;1700;36,4167;
150216;1800;41,8333;
150216;1900;48,25;
150216;2000;52,4167;
150216;2100;55,9167;
150216;2200;59,1667;
150216;2300;62,5833;
150217;0000;66,4166;
150217;0100;68,5833;
150217;0200;70,75;
150217;0300;71,9166;
150217;0400;73,0833;
150217;0500;74,25;
150217;0600;74,3333;
150217;0700;67,4166;
150217;0800;54,9167;
150217;0900;47;,
150217;1000;41,5833;
150217;1100;34,25;
150217;1200;29,4167;
150217;1300;25;,
150217;1400;24,5;
150217;1500;24,0833;
150217;1600;25,3333;
150217;1700;25;,
150217;1800;32,6667;
150217;1900;41,6667;
150217;2000;46,5833;
150217;2100;49,25;
150217;2200;49;,
150217;2300;51;,
150218;0000;55,5;
150218;0100;57,9167;
150218;0200;61,5;
150218;0300;63,5833;
150218;0400;64,75;
150218;0500;66,75;
150218;0600;68,0833;
150218;0700;65,5;
150218;0800;53,4167;
150218;0900;45,9167;
150218;1000;38,3333;
150218;1100;32,5;
150218;1200;24,9167;
150218;1300;22,8333;
150218;1400;24,5;
150218;1500;26,1667;
150218;1600;22,9167;
150218;1700;21,8333;
150218;1800;24,1667;
150218;1900;30,4167;
150218;2000;37,0833;
150218;2100;40,75;
150218;2200;43,6667;
150218;2300;48,1667;
150219;0000;53,25;
150219;0100;54,9167;
150219;0200;56,5833;
150219;0300;57,8333;
150219;0400;60,9167;
150219;0500;62,3333;
150219;0600;62,5833;
150219;0700;54,4167;
150219;0800;40,5;
150219;0900;35,0833;
150219;1000;29,75;
150219;1100;27;,
150219;1200;25,75;
150219;1300;27,25;
150219;1400;26,8333;
150219;1500;30,8333;
150219;1600;35,8333;
150219;1700;38,4167;
150219;1800;46,6667;
150219;1900;50,5;
150219;2000;52,75;
150219;2100;52,5833;
150219;2200;54,5;
